"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"969","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,2,3,1,4,3,4,4,4,"F",">70 yo","White","High school or some college","Born in this country","10-20k","Independent","Not strong","Black Protestant","South",75,12,33752.42,10.4268073974338,0.79,2558
"970","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much",3,3,4,2,3,2,3,3,3,2,2,3,2,3,4,3,4,3,4,2,3,4,4,"F","40-55 yo","White","Bachelor","Born in this country","> 30k","Strong Republican","Strong","Catholic","South",49,16,103853.6,11.5507374940862,0.39,2559
"971","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Somewhat / fairly",4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,4,3,3,3,2,4,3,3,"M",">70 yo","Black","< High school","Born in this country","< 10k","Strong Democrat","Strong","Mainline Protestant","South",73,10,14279.87,9.56660613221068,0.39,2563
"972","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,2,2,3,3,4,4,3,"F","55-70 yo","White","High school or some college","Born in this country","20-30k","Strong Democrat","Strong","Other religion","South",57,12,38945.1,10.5699082410745,0.79,2564
"973","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,3,4,4,4,3,4,3,2,4,2,2,3,3,3,4,4,4,4,4,4,"F","25-40 yo","Hispanic","High school or some college","Born in this country","10-20k","Democrat","Strong","Other religion","South",26,12,33752.42,10.4268073974338,0.79,2568
"974","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much",4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,2,3,3,4,4,3,4,4,"F",">70 yo","Black","Advanced degree","Born in this country","> 30k","Strong Democrat","Not strong","Mainline Protestant","South",76,18,57119.48,10.9529004933306,0.79,2572
"975","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,3,4,4,3,3,4,2,3,3,4,4,4,3,3,4,4,4,"F","55-70 yo","White","Advanced degree","Born in this country","> 30k","Republican","Not strong","Black Protestant","South",62,18,103853.6,11.5507374940862,0.79,2574
"976","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not at all","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",4,3,4,4,4,3,4,4,4,1,3,4,4,3,4,4,4,4,4,3,4,4,4,"F","40-55 yo","White","Advanced degree","Born in this country","> 30k","Republican","Not strong","Black Protestant","South",53,18,220907.52221336,12.3054994414014,0.79,2576
"977","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,4,3,4,4,3,3,3,2,2,3,3,3,3,4,3,4,4,4,"F","25-40 yo","White","Bachelor","Born in this country","20-30k","Democrat","Strong","Catholic","South",28,16,38945.1,10.5699082410745,0.79,2578
"978","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,2,3,3,3,3,4,4,4,3,3,3,4,4,4,"M",">70 yo","White","< High school","Born in this country","< 10k","Strong Republican","Not strong","Other religion","South",74,8,14279.87,9.56660613221068,0.79,2581
"979","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly",4,3,4,3,4,3,3,4,3,3,2,3,2,2,3,3,3,3,4,4,4,4,3,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Independent","Strong","Evangelical Protestant","South",52,12,220907.52221336,12.3054994414014,0.79,2585
"980","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,4,4,4,3,3,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,"F","< 25 yo","White","< High school","Born in this country","> 30k","Strong Republican","Strong","Black Protestant","South",19,11,85679.22,11.3583656014387,0.74,2593
"981","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,3,4,4,4,2,3,3,4,2,3,4,2,1,3,3,3,2,1,3,4,4,3,"F","25-40 yo","White","High school or some college","Born in this country","< 10k","Strong Democrat","Strong","No religion","South",34,13,16876.21,9.73366021687385,0.74,2600
"982","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"M","25-40 yo","White","High school or some college","Born in this country","10-20k","Republican","Strong","No religion","South",39,14,28559.74,10.2597533127706,1.48,2605
"983","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",4,4,4,4,4,2,3,4,4,3,4,3,3,2,2,2,2,1,2,3,3,3,4,"F","< 25 yo","White","< High school","Born in this country","20-30k","Strong Democrat","Not strong","Other religion","South",21,9,46734.12,10.7522297978684,1.84,2607
"984","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",3,3,4,2,3,2,4,3,4,2,3,3,2,2,3,3,3,2,3,3,3,4,3,"F","25-40 yo","White","High school or some college","Born in this country","< 10k","Strong Democrat","Strong","Evangelical Protestant","South",35,15,16876.21,9.73366021687385,0.74,2608
"985","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,"M","25-40 yo","White","High school or some college","Born in this country","10-20k","Independent","Not strong","Black Protestant","South",28,13,28559.74,10.2597533127706,0.74,2609
"986","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Not at all","Very much","Very much","Somewhat / fairly",3,3,4,3,4,4,4,3,3,3,3,3,2,2,3,2,3,2,2,1,4,4,3,"F","40-55 yo","White","High school or some college","Born in this country","10-20k","Democrat","Strong","Evangelical Protestant","South",49,14,22068.89,10.0019242034685,0.37,2610
"987","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,2,3,4,4,3,4,4,2,2,3,3,3,4,4,4,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","No religion","South",49,14,103853.6,11.5507374940862,0.74,2611
"988","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,3,3,3,3,3,4,4,3,"F","40-55 yo","White","High school or some college","Born in this country","10-20k","Strong Republican","Strong","Black Protestant","South",40,13,24665.23,10.1131498385787,0.74,2616
"989","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Not at all","Not at all","Not very much","Not very much","Not at all","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,4,3,4,2,1,1,2,2,1,3,3,4,4,3,"M","40-55 yo","White","< High school","Born in this country","10-20k","Republican","Strong","Evangelical Protestant","South",49,10,22068.89,10.0019242034685,0.37,2621
"990","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,2,2,3,3,3,4,4,4,"F","40-55 yo","White","High school or some college","Born in this country","< 10k","Independent","Strong","No religion","South",40,12,14279.87,9.56660613221068,1.11,2624
"991","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,3,4,4,2,3,4,3,3,4,3,3,4,3,3,4,4,4,"M","40-55 yo","Black","High school or some college","Born in this country","> 30k","Strong Republican","Strong","Mainline Protestant","Mountain",48,14,70101.18,11.1576949059766,0.84,2634
"992","Somewhat / fairly","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Not at all","Not very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,2,3,4,4,1,2,4,4,3,4,3,3,4,4,4,4,4,4,"F","25-40 yo","Hispanic","High school or some college","Born in this country","< 10k","Democrat","Strong","Catholic","Mountain",34,12,11683.53,9.36593543674853,0.42,2635
"993","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Very much",4,3,3,3,2,4,3,4,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,"M","55-70 yo","Black","Bachelor","Born in this country","20-30k","Independent","Not strong","Mainline Protestant","Mountain",56,16,38945.1,10.5699082410745,0.42,2637
"994","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly",3,4,4,4,4,4,4,4,4,3,4,4,3,2,2,2,2,3,2,2,3,4,3,"F","25-40 yo","White","High school or some college","Born in this country","< 10k","Independent","Strong","Other religion","Mountain",36,13,14279.87,9.56660613221068,0.42,2640
"995","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,4,4,4,4,2,4,3,4,3,2,4,2,2,3,3,3,2,2,3,3,3,3,"M","55-70 yo","White","Advanced degree","Born in this country","20-30k","Democrat","Not strong","Other religion","Mountain",61,20,38945.1,10.5699082410745,0.42,2642
"996","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not at all","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Very much",4,3,4,3,4,1,4,3,3,2,3,3,2,3,3,4,4,4,2,4,4,4,4,"F","25-40 yo","White","High school or some college","Born in this country","> 30k","Republican","Not strong","Other religion","Mountain",25,14,70101.18,11.1576949059766,0.84,2645
"997","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Very much","Not at all","Not very much","Not very much","Not at all","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly",2,3,3,2,3,2,2,2,3,4,1,2,2,1,3,2,2,2,3,3,2,2,3,"F","55-70 yo","White","High school or some college","Born in this country","10-20k","Independent","Strong","No religion","Mountain",60,15,28559.74,10.2597533127706,0.42,2646
"998","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not at all","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,4,4,4,4,4,4,4,4,3,1,4,2,3,3,4,3,3,2,3,3,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Democrat","Not strong","Evangelical Protestant","Mountain",47,12,70101.18,11.1576949059766,0.84,2652
"999","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much",2,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,"F","< 25 yo","Hispanic","High school or some college","Born in this country","< 10k","Independent","Strong","Catholic","Mountain",19,12,7789.02,8.96047032864037,1.68,2654
"1000","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Not very much","Very much","Very much","Not very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",4,3,4,3,3,2,4,2,4,4,2,2,2,2,2,3,3,3,3,4,3,3,3,"F","55-70 yo","White","Advanced degree","Born in this country","< 10k","Democrat","Not strong","Other religion","Mountain",61,18,6750.484,8.81736948499969,1.68,2655
"1001","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Very much","Very much","Very much",4,3,4,3,4,2,4,3,4,2,4,4,3,3,4,3,4,4,2,2,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","20-30k","Strong Republican","Strong","Catholic","Mountain",42,12,38945.1,10.5699082410745,0.42,2656
"1002","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much",4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,3,4,2,4,4,4,"M","55-70 yo","White","High school or some college","Born in this country","20-30k","Democrat","Not strong","Catholic","Mountain",62,12,38945.1,10.5699082410745,0.84,2659
"1003","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,3,4,3,4,4,4,4,3,2,3,3,3,1,3,3,3,4,4,4,4,4,4,"M","40-55 yo","White","Advanced degree","Born in this country","> 30k","Democrat","Not strong","Catholic","Mountain",42,17,70101.18,11.1576949059766,0.84,2662
"1004","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not at all","Not very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,4,4,2,2,4,3,3,2,1,2,4,4,4,"M","40-55 yo","White","High school or some college","Not born in this country","20-30k","Strong Republican","Not strong","Other religion","Mountain",46,15,46734.12,10.7522297978684,0.43,2665
"1005","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",4,3,4,3,4,3,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Not strong","Other religion","Mountain",51,12,220907.52221336,12.3054994414014,0.85,2666
"1006","Very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",4,3,4,2,4,4,3,3,4,3,2,4,2,2,2,2,3,3,3,3,3,4,3,"F","25-40 yo","White","Bachelor","Born in this country","> 30k","Strong Democrat","Not strong","Evangelical Protestant","Mountain",39,16,57119.48,10.9529004933306,0.85,2667
"1007","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much",3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,"F","40-55 yo","White","High school or some college","Born in this country","20-30k","Republican","Strong","Other religion","Mountain",52,12,46734.12,10.7522297978684,0.43,2669
"1008","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",3,1,3,2,3,1,4,3,4,3,2,4,1,4,4,4,4,4,4,4,4,4,4,"M","25-40 yo","White","Advanced degree","Born in this country","20-30k","Republican","Not strong","Other religion","Mountain",34,19,38945.1,10.5699082410745,1.71,2675
"1009","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much",4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,"F","25-40 yo","White","< High school","Born in this country","20-30k","Strong Republican","Not strong","Mainline Protestant","Mountain",31,11,46734.12,10.7522297978684,0.85,2676
"1010","Not very much","Not very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Very much","Very much",2,2,4,2,4,4,4,3,4,3,3,3,3,2,2,3,2,4,4,4,4,4,4,"F","25-40 yo","White","High school or some college","Born in this country","> 30k","Strong Republican","Not strong","Other religion","Mountain",30,14,57119.48,10.9529004933306,0.43,2681
"1011","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much",4,2,4,2,3,2,4,4,4,1,3,3,3,2,3,4,4,4,4,1,4,4,4,"M","25-40 yo","White","High school or some college","Born in this country","10-20k","Republican","Not strong","Other religion","Mountain",25,15,28559.74,10.2597533127706,0.85,2682
"1012","Very much","Very much","Very much","Somewhat / fairly","Very much","Not at all","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,3,4,1,3,4,4,2,3,4,2,3,3,4,3,4,4,3,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","10-20k","Independent","Strong","No religion","Mountain",41,15,33752.42,10.4268073974338,0.43,2683
"1013","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,3,4,4,4,4,4,4,4,3,4,4,2,3,3,3,3,3,3,3,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","No religion","Mountain",52,13,57119.48,10.9529004933306,1.28,2684
"1014","Very much","Not at all","Not very much","Somewhat / fairly","Not very much","Not very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Very much","Not at all","Somewhat / fairly","Not at all","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly",4,1,2,3,2,2,4,3,4,4,2,4,1,3,1,2,4,4,4,4,4,4,3,"M","40-55 yo","White","Bachelor","Born in this country","> 30k","Democrat","Strong","Evangelical Protestant","Mountain",49,16,85679.22,11.3583656014387,0.85,2685
"1015","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Not very much","Not at all","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,4,2,3,2,1,2,4,3,3,4,4,4,4,4,"M","55-70 yo","Other race","< High school","Born in this country","10-20k","Independent","Not strong","Other religion","Pacific",65,10,28559.74,10.2597533127706,1.17,2686
"1016","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Not very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,3,3,4,4,4,4,4,"F","25-40 yo","Black","High school or some college","Born in this country","< 10k","Democrat","Strong","Catholic","Pacific",26,12,11683.53,9.36593543674853,1.17,2691
"1017","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,3,4,4,"M",">70 yo","White","High school or some college","Born in this country","> 30k","Democrat","Not strong","Catholic","Pacific",70,12,57119.48,10.9529004933306,1.17,2693
"1018","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Not very much","Very much","Somewhat / fairly","Very much","Very much",4,2,4,2,3,2,4,4,4,3,2,4,3,2,2,3,4,4,2,4,3,4,4,"M","40-55 yo","White","Advanced degree","Born in this country","10-20k","Democrat","Strong","Catholic","Pacific",50,17,22068.89,10.0019242034685,0.59,2695
