"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"31","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Not at all","Very much","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly",3,2,4,3,4,1,4,4,3,2,3,3,2,3,4,3,4,3,4,4,4,4,3,"F","25-40 yo","Hispanic","Advanced degree","Not born in this country","> 30k","Republican","Strong","Catholic","Northeast",30,17,85679.22,11.3583656014387,0.99,83
"32","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,3,3,4,4,3,4,4,4,"M","40-55 yo","White","Bachelor","Born in this country","> 30k","Republican","Not strong","Catholic","Northeast",48,16,220907.52221336,12.3054994414014,1.98,84
"33","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",4,2,3,2,3,2,3,3,2,3,3,3,2,2,2,3,4,4,4,3,3,3,4,"M","25-40 yo","Other race","High school or some college","Not born in this country","> 30k","Democrat","Strong","Other religion","Northeast",33,15,85679.22,11.3583656014387,0.99,89
"34","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,3,4,3,3,3,4,4,4,2,3,4,4,4,"F","55-70 yo","White","High school or some college","Born in this country","10-20k","Strong Republican","Strong","Black Protestant","Northeast",69,12,33752.42,10.4268073974338,0.99,90
"35","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",3,2,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,"M","25-40 yo","Other race","High school or some college","Not born in this country","> 30k","Independent","Strong","Other religion","Northeast",31,15,85679.22,11.3583656014387,0.99,92
"36","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Not at all","Somewhat / fairly","Not very much","Very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",3,4,3,4,4,1,3,2,4,2,2,4,4,4,4,2,2,4,4,3,4,4,4,"M","25-40 yo","Other race","High school or some college","Not born in this country","> 30k","Democrat","Strong","Other religion","Northeast",31,14,220907.52221336,12.3054994414014,0.99,93
"37","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not at all","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,3,4,4,4,1,3,4,4,3,3,3,4,4,4,4,4,4,4,"F","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",45,13,220907.52221336,12.3054994414014,0.99,94
"38","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly",4,3,4,3,4,3,3,4,4,3,3,4,2,3,3,3,3,3,4,4,3,4,3,"F","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",37,16,220907.52221336,12.3054994414014,0.99,103
"39","Somewhat / fairly","Not at all","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much",3,1,4,2,4,2,3,3,4,3,1,3,2,2,2,2,3,2,2,3,3,4,2,"F","40-55 yo","White","Advanced degree","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",50,17,220907.52221336,12.3054994414014,0.99,106
"40","Not at all","Very much","Very much","Not very much","Very much","Not very much","Very much","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",1,4,4,2,4,2,4,2,2,3,4,4,3,2,1,3,2,3,3,3,3,4,3,"F","55-70 yo","Hispanic","High school or some college","Not born in this country","20-30k","Strong Republican","Strong","Catholic","Northeast",57,15,46734.12,10.7522297978684,0.99,110
